Region;Zone;Woreda;Pcode;Belg_2010;Kiremt_2010;Kiremt_2011;Kiremt_2012;Belg_2013;Kiremt_2013;Belg_2014;Kiremt_2014;Kiremt_2015;Belg_2016;Kiremt_2016;Kiremt_2017;Belg_2018;Frequency;Affected_pop
Oromia;East Harareg;Malka Balo;ET041012;; 1,050 ;;;;;;;;;;;;1; 1,050 
Amahra;North Shewa(R3);Merahbete;ET030502;;;;;;;;;;;;;;0;
Amahra;North Shewa(R3);Mimo Weremo;ET030501;;;;;;;;;;;;;;0;
Tigray;Southern;Enderta;ET010602;;;;;;;;;1;;1;;;2; 1 
Tigray;Southern;Hintalo Wejirat;ET010603;;;;;;;;;1;;1;;;2; 1 
Tigray;Southern;Ofla;ET010408;;;;;;;;;1;; 20 ;;;2; 11 
Amahra;North Wollo;Habru;ET030308;;31255;; 6,291 ;;;;;1; 1 ; 104 ;;;5; 7,530 
Amahra;North Wollo;Guba Lafto;ET030307;;;; 24,771 ;;;;;1; 1 ;1;;;4; 6,194 
Amahra;North Wollo;Gidan;ET030303;;;; 12,917 ;;;;;1;; 242 ;;;3; 4,387 
Amahra;North Wollo;Meket;ET030304;;;; 615 ;;;;;1;;1;;;3; 206 
Amahra;North Wollo;Bugna;ET030301;;;;;;;;;1;;1;;;2; 1 
Oromia;East Shewa;Adama;ET040703;;;;;;;;;1; 1 ;1;;;3; 1 
SNNPR;Sidama;Boricha;ET070410; 4,103 ;;;;;;;;;; 675 ;;;2; 2,389 
SNNPR;Sidama;Wondo-Genet;ET070420;;;;;;;;;; 1 ;;;;1; 1 
Somali;Shabelle;East Imi;ET050601;;; 1 ; 1 ;;; 35,442 ;1;1; 611 ;1;; 4,142 ;8; 5,025 
Somali;Shabelle;Ferfer;ET050607;;;; 1 ;; 1 ; 41,036 ;1;1;; 1,500 ;; 8,250 ;7; 7,256 
Oromia;East Shewa;Dugda;ET040707;;;;;;;;;1; 1 ;1;;;3; 1 
Oromia;East Shewa;Lome;ET040704;;;;;;;;;1; 1 ;1;;;3; 1 
Oromia;East Shewa;Boset;ET040702;;;;;;;;;1;;1;;;2; 1 
Oromia;East Shewa;Fentale;ET040701;;;;;;;;;;;; 1 ;;1; 1 
Afar;Awsi (Zone 1);Adaa'r;ET0201051;; 1,200 ;;;;;;;;;;;;1; 1,200 
Oromia;East Shewa;Liben Chukala;ET040711;;;;;;;;;;;; 1 ;;1; 1 
Oromia;East Shewa;Adami Tulu Jido Kombolcha;ET040708;;;;;;;;;;;;;;0;
Oromia;East Wellega;Limu;ET040201;;;;;;;;;1;;;;;1; 1 
Oromia;East Wellega;Qodal;#N/A;;;;;;;;;;;; 1 ;;1; 1 
Oromia;East Wellega;Dega;ET040304;;;;;;;;;;;; 715 ;;1; 715 
Somali;Shabelle;Adadle;ET050602;;;;;;; 1,496 ;1;1;;1;; 4,252 ;5; 1,150 
Somali;Shabelle;Gode;ET050604;;; 2,880 ; 1 ;;;;1;1;;1;;;5; 577 
Amahra;North Wollo;Wadla;ET030305;;;; 8,346 ;;;;;;;1;;;2; 4,174 
Amahra;North Wollo;Lasta;ET030310;;;; 4,178 ;;;;;;;;;;1; 4,178 
Amahra;North Wollo;Dawunt;ET030311;;;;;;;;;;;;;;0;
Amahra;North Wollo;Delanta;ET030306;;;;;;;;;;;;;;0;
Amahra;Oromia;Dewa Cheffa;ET031001;;690;; 7,415 ;;;;;1;;1;;;4; 2,027 
Amahra;Oromia;Artuma Fursi;ET031004;;;; 10,895 ;;;;;1;;1;;;3; 3,632 
Oromia;Guji;Liben;ET041407; 357 ;;;;;;;;1;;1;;;3; 120 
Oromia;Guji;Adola;ET041403;;;;;;;;;;; 4,975 ;; 1 ;2; 2,488 
Oromia;Guji;Goro Dola;ET041413;;;;;;;;;;; 175 ;;;1; 175 
Oromia;Guji;Hambela Wamena;ET041409;;;;;;;;;;; 370 ;;;1; 370 
Oromia;Guji;Wadera;ET041404;;;;;;;;;;;;;;0;
Oromia;Ilubabor;Becho;ET040307;;;;;;;;;1;;1;;;2; 1 
Oromia;Kelem Wellega;Hawa Galan;ET041801;;;;;;;;;;; 120 ;;;1; 120 
Oromia;Kelem Wellega;Jimma Horo;ET041810;;;;;;;;;;; 319 ;;;1; 319 
Oromia;North shewa;Debre libanos;ET040607;;;;;;;;;;;; 1,672 ;;1; 1,672 
Oromia;North shewa;Liban Jawi;ET040597;;;;;;;;;;;; 110 ;;1;
Oromia;North Shewa(R4);Dera;ET040602;;18639;;;;;;;1;;;;;2; 9,320 
Oromia;North Shewa(R4);Gerar Jarso;ET040606;;;;;;;;;1;;1;;;2; 1 
Tigray;Eastern;Gulomekeda;ET010301;;;;;;;;;;; 65 ;;;1; 65 
Somali;Shabelle;Denan;ET050603;;; 700 ; 1 ;;;;;;;;;;2; 351 
SNNPR;South Omo;Dasenech (Kuraz);ET070706;;;;;;;;1;1;;1;;;3; 1 
SNNPR;South Omo;Hamer;ET070704; 1,779 ;;;;;;;;1;;1;;;3; 594 
SNNPR;South Omo;Gelila;ET070703;;;;;;;;;1;;1;;;2; 1 
SNNPR;South Omo;Gnangatom;ET070708;;;;;;;;;1;;1;;;2; 1 
Oromia;North Shewa(R4);Kembibit;ET040610;;;;;;;;;1;;1;;;2; 1 
Oromia;North Shewa(R4);Yaya Gulele;ET040614;;;;;;;;;1;;1;;;2; 1 
SNNPR;South Omo;South Ari (Bako Gazer);ET070702;;;;;;;;;1;;1;;;2; 1 
Somali;Shabelle;Aba-korow;ET050699;;;;;;;;;;;;; 259 ;1; 259 
Oromia;North Shewa(R4);Kuyu;ET040604;;;;;;;;;;; 1,715 ;;;1; 1,715 
Oromia;Oromia special zone;Alem Gena;ET041306;;;;;;;;;;;; 1 ;;1; 1 
SNNPR;South Omo;Bena Tsemay;ET070705; 1,909 ;;;;;;;;;;;;;1; 1,909 
Somali;Shabelle;Berocano;ET050696;;;;;;;;;;;;; 4,675 ;1; 4,675 
Somali;Siti;Shinile;ET050103;;;;;;; 600 ;;1;; 50 ;; 1 ;4; 163 
Somali;Siti;Erer;ET130105;;;;;;1;;;1;; 2,746 ;;;3; 916 
Amahra;Oromia;Jille Timuga;ET031003;;;;;;;;;1;; 1,265 ;;;2; 633 
Amahra;Oromia;Dewa Harewa;ET031005;;8805;;;;;;;;;;;;1; 8,805 
Amahra;Oromia;Kemisie Town;ET031006;;;; 3,025 ;;;;;;;;;;1; 3,025 
