name;pcode;pcode_parent;Land area;Violent incidents last year;% persons with disability;% Access to safe drinking water;Nr. of educational facilities per 10,000 people;% Access to electricity;Average elevation;% employed;Drought exposure;Earthquake exposure;Flood exposure;Nr. of health facilities per 10,000 people;% Access improved sanitation;% Literacy;% having mosquito nets;% of orphans under 18;Population density;Population;Poverty incidence;% permanent roof type;% Subsistence farming;Travel time to nearest city;% permanent wall type;% with internet access;% with mobile access;# of displaced persons;# of displaced / local population;pcode_level2;Violent incidents last year (0-10);Drought exposure (0-10);Earthquake exposure (0-10);Flood exposure (0-10);Hazards exposure;% persons with disability (0-10);% employed (0-10);% Literacy (0-10);% having mosquito nets (0-10);% of orphans under 18 (0-10);Poverty incidence (0-10);% permanent roof type (0-10);% Subsistence farming (0-10);% permanent wall type (0-10);Vulnerability;% Access to safe drinking water (0-10);Nr. of educational facilities per 10,000 people (0-10);% Access to electricity (0-10);Nr. of health facilities per 10,000 people (0-10);% Access improved sanitation (0-10);Travel time to nearest city (0-10);% with internet access (0-10);% with mobile access (0-10);Lack of Coping Capacity;Risk score
Omoro;21UGA001007;21UGA001;15.664.099;0;0.1617;0.6102;58.157;0.057;10.649.991;0.5902;0.1468;0;0.0002;16.188;0.1711;0.6535;0.9345;0.1109;1.064.798;166.790.987;0.6925;0.1399;0.8958;1.353.069;0.0997;0.064;0.238;null;null;21UGA001007;0;39.196;0;0.6684;12.984;57.659;41.473;7.016;2.762;6.55;69.198;94.732;91.557;91.852;73.515;45.748;78.117;9.489;45.391;61.164;7.037;88.857;76.623;74.009;59.575
Rukiga;21UGA009005;21UGA009;4.283.577;68.691;0.1516;0.7254;82.429;0.1005;18.373.408;0.8225;0.2013;0;0;16.486;0.131;0.7501;0.9723;0.0898;3.398.535;1.455.789.174;0.5957;0.9796;0.8737;1.598.271;0.0929;0.044;0.348;null;null;21UGA009005;85.314;49.542;0;0;44.567;52.732;15.898;46.725;0.7308;44.995;56.435;0.1793;89.268;92.597;54.537;3.155;67.365;89.584;44.107;72.441;74.248;94.571;6.075;71.582;58.118
Kween;21UGA006005;21UGA006;8.163.712;0;0.0757;0.6753;8.467;0.0378;1.787.736;0.8239;0.1867;0;0;16.388;0.1345;0.6545;0.9639;0.0499;134.545;1.098.386.322;0.7412;0.6134;0.861;2.140.525;0.0293;0.052;0.234;null;null;21UGA006005;0;47.073;0;0;14.299;15.707;15.744;69.918;11.822;0.622;7.562;42.324;87.952;99.562;5.961;37.725;66.372;97.231;44.529;71.457;81.048;92.286;77.201;76.001;55.171
Serere;21UGA013008;21UGA013;19.653.068;0;0.1466;0.9462;53.889;0.0639;10.520.783;0.8124;0.2109;0;0.0012;0.78;0.1081;0.6546;0.9101;0.0592;1.435.202;2.820.612.612;0.7068;0.2091;0.8841;822.562;0.18;0.038;0.244;null;null;21UGA013008;0;5.107;0;28.904;22.759;50.293;1.701;69.893;40.731;15.258;71.084;87.072;90.345;83.058;65.281;0.4338;80.008;94.048;81.538;78.881;58.783;96.286;75.758;77.896;59.876
Amuru;21UGA001002;21UGA001;35.368.311;0;0.1437;0.5117;52.435;0.0663;8.992.283;0.8247;0.1205;0;0.0005;1.408;0.1738;0.5766;0.9039;0.095;582.355;2.059.692.908;0.765;0.1759;0.8605;4.831.223;0.068;0.063;0.236;null;null;21UGA001002;0;32.737;0;14.864;12.876;48.878;15.656;88.816;44.062;50.049;78.758;90.747;8.79;95.324;74.081;57.888;80.652;93.755;54.475;60.405;10;89.143;76.912;81.007;63.269
Kitgum;21UGA001004;21UGA001;41.533.894;0;0.1541;0.7976;60.963;0.0785;10.709.924;0.7714;0.1468;0;0.0012;0.855;0.238;0.6129;0.9489;0.1057;647.697;2.690.137.563;0.6164;0.2052;0.8676;2.608.443;0.1726;0.1;0.262;null;null;21UGA001004;0;39.196;0;28.904;18.681;53.951;21.524;8.001;19.882;60.447;59.164;87.504;88.636;83.868;67.654;22.652;76.874;92.267;78.306;42.351;85.651;78.571;7.316;7.345;57.828
Kyegegwa;21UGA014006;21UGA014;17.463.948;0;0.1203;0.1926;8.945;0.1201;13.004.079;0.5099;0.213;0;0.0002;0.9564;0.1388;0.6827;0.9331;0.0761;1.017.831;1.777.534.345;0.7412;0.7942;0.8369;3.365.629;0.1713;0.032;0.33;62535;0.351807548693667;21UGA014006;0;51.395;0;0.6684;1.744;37.463;50.314;63.076;28.372;31.681;7.562;22.313;85.455;84.011;58.483;97.215;64.255;87.194;73.937;70.247;91.584;9.8;63.348;8.403;60.002
Kanungu;21UGA009002;21UGA009;1.330.347;29.901;0.1253;0.5626;67.277;0.1223;13.929.163;0.8396;0.2438;0;0.0004;14.053;0.1461;0.7117;0.9599;0.0954;2.513.903;334.436.368;0.701;0.9284;0.8228;1.855.303;0.2132;0.052;0.354;null;null;21UGA009002;77.284;55.827;0;12.335;43.803;39.902;14.015;56.041;13.971;50.437;70.319;0.746;83.995;79.422;52.507;51.614;74.077;86.925;54.592;68.195;77.719;92.286;59.885;73.317;58.087
Zombo;21UGA015009;21UGA015;8.973.941;0;0.1777;0.679;2.411;0.0578;14.599.794;0.9009;0.1681;0;0;0.6941;0.1477;0.5305;0.9535;0.0808;3.050.412;2.737.421.294;0.6636;0.2027;0.9164;2.848.048;0.1128;0.034;0.189;null;null;21UGA015009;0;43.633;0;0;13.025;65.463;0.7266;10;1.741;36.249;65.388;87.781;93.691;90.417;73.743;37.269;9.32;94.792;8.524;67.745;87.697;97.429;83.694;85.051;6.54
Kyenjojo;21UGA014007;21UGA014;2.351.305;0;0.1188;0.4568;52.133;0.11;13.372.833;0.8216;0.1406;0;0;0.7715;0.167;0.6855;0.9421;0.0953;181.92;427.749.385;0.6753;0.8679;0.7498;2.095.867;0.1965;0.038;0.339;null;null;21UGA014007;0;37.783;0;0;10.965;36.732;15.997;62.397;23.536;5.034;6.693;14.156;76.432;81.251;52.521;64.654;80.786;88.425;81.905;62.317;80.558;96.286;62.049;7.944;54.046
